Distributor ID,Firm Name,Discount Category,Point of Sales,Type,DB Name,Territory,State,Email ID,Contact Person,Contact Number,Address,Sales Person,
B0D0S00001,M S ENTERPRISES,E1,Kauneus Marketing LLP,Distributor,M S ENTERPRISES  (Guntur),Guntur,Andhra Pradesh,Srivejella@gmail.com,Shyam,9440753473,"11-7-10/1, ganta vari street, pandurangapeta, tenali, Guntur-522201",Kartik TSV,South 1
B0D0S00002,SRI SUNEEL ENTERPRISES,E1,Kauneus Marketing LLP,Distributor,SRI SUNEEL ENTERPRISES (Nellore),Nellore,Andhra Pradesh,msuneelkumarnlr@gmail.com,M.Suneel,9703893114,"2-896,Waheb peta,opp.madras bus stand,near chandrareddy College, sri potti sriramulu Nellore, Andhra Pradesh, 524000",Kartik TSV,South 1
B0D0S00003,Tirumala Srinivasa Pharmaceuticals,E1,Kauneus Marketing LLP,Distributor,Tirumala Srinivasa Pharmaceuticals (Vizag),Vizag,Andhra Pradesh,,Ramakrishna,6301890066,"31-29-92/1, Beside Sai Baba Temple,Sai Baba Street,Daba Gardens, Visakhapatnam, Andhra Pradesh 530004",Kartik TSV,South 1
B0D0S00004,Lucci Collection,E1,Rakta Traders,Distributor,Lucci Collection (Naharlagun),Naharlagun,Arunachal Pradesh,luccicollections22@gmail.com,Johny,6009406763,"JN ACADEMY Building, adjacent to Reliance Trends Mall building, '0'Point Itanagar",Mriganka Mahanta,East 3
B0D0S00005,AB Enterprises,E1,Rakta Traders,Distributor,AB Enterprises (Guwahati),Guwahati,Assam,AbEnterpriseapril2023@gmail.com,Komal,7002612330,"Namghar Path, Rukmanigaon, Kamrup, Guwahati - 781006",PurbiDas,East 3
B0D0S00006,Radiant Paper Corporation,E1,Glow Star,Super Stockiest,Radiant Paper Corporation (Guwahati),Guwahati,Assam,rakta2016ghy@gmail.com,Bablu,91 98641 18445,,Mriganka Mahanta,East 3
B0D0S00007,Shree Shyam Enterprises,E1,Rakta Traders,Distributor,Shree Shyam Enterprises (Dibrugarh),Dibrugarh,Assam,VJ8486590619@GMAIL.COM,Vivek jain,9395312365,"1st Floor, Chawladilliwala K C Gogoi Path, Khaliamari, Dibrugarh - 786001",Priyanka Das,East 3
B0D0S00008,H N Enterprises,E1,Biolume,Distributor,H N Enterprises (Patna),Patna,Bihar,,Priyanka Kumari,8987761746,"BEGAMPUR, PLOT NO 145, KHATA N0 49, VILL MARCHI, BYE PASS PATNA, BYE PASS PATNA, Patna, Bihar - 800009",Vikash,East 2
B0D0S00009,Rita Enterprises,E1,Biolume,Distributor,Rita Enterprises (Patna),Patna,Bihar,enterprisesrita778@gmail.com,Rita,7209061551,"RK Ave, Churi Market, Kadamkuan, Patna, Bihar 800003, India",Vikash,East 2
B0D0S00010,Queen's Cosmetics,E1,Glow Star,Distributor,Queen's Cosmetics (Raipur),Raipur,Chattishgarh,charangandhi1@gmail.com,Charandeep Singh Gandhi,9301184333 / 700827325,"Vineet Estate, Shankar Nagar, Raipur",Mayank Singh,East 2
