Product ID,Product Name,Product Category,Price,E1,D1,S1,S2
B0P0F001,5 step facial - Micro Detox,Facial Kit,250,211.86,125,116.25,105
B0P0F002,5 step facial - Aurum Glow,Facial Kit,250,211.86,125,116.25,105
B0P0F003,5 step facial - Radiance Revival,Facial Kit,275,233.05,137.5,127.875,115.5
B0P0F004,5 step facial - Derma Lumin,Facial Kit,275,233.05,137.5,127.875,115.5
B0P0F005,5 step facial - Cobalin B12,Facial Kit,250,211.86,125,116.25,105
B0P0F006,5 step facial - Mucin Glow,Facial Kit,275,233.05,137.5,127.875,115.5
B0P0F007,7 Step Facial - Acne Blast,Facial Kit,635,538.14,317.5,295.275,266.7
B0P0F008,7 Step Facial - Hydra Rich,Facial Kit,635,538.14,317.5,295.275,266.7
B0P0F009,7 Step Facial - Korean Glow,Facial Kit,635,538.14,317.5,295.275,266.7
B0P0F010,7 Step Facial - Marine Mud,Facial Kit,635,538.14,317.5,295.275,266.7
B0P0F011,7 Step Facial - Revital,Facial Kit,635,538.14,317.5,295.275,266.7
B0P0F012,7 Step Facial - Sea Boost,Facial Kit,635,538.14,317.5,295.275,266.7
B0P0F013,8 step Premium Facial - Bija Green Tea,Facial Kit,910,771.19,455,423.15,382.2
B0P0F014,8 step Premium Facial - Jeju Cherry,Facial Kit,910,771.19,455,423.15,382.2
B0P0F015,8 step Premium Facial - Jelly Wine,Facial Kit,1050,889.83,525,488.25,441
B0P0F016,8 step Premium Facial - Kaolin Aloe,Facial Kit,910,771.19,455,423.15,382.2
B0P0F017,8 step Premium Facial - Purple Ginseng,Facial Kit,1050,889.83,525,488.25,441
B0P0F018,8 step Premium Facial - Snail Mucin,Facial Kit,1050,889.83,525,488.25,441
B0P0F019,9 step Premium Facial - Bija Green Tea,Facial Kit,1150,974.58,575,534.75,483
B0P0F020,9 step Premium Facial - Jeju Cherry,Facial Kit,1150,974.58,575,534.75,483
B0P0F021,9 step Premium Facial - Jelly Wine,Facial Kit,1200,1016.95,600,558,504
B0P0F022,9 step Premium Facial - Kaolin Aloe,Facial Kit,1150,974.58,575,534.75,483
B0P0F023,9 step Premium Facial - Purple Ginseng,Facial Kit,1200,1016.95,600,558,504
B0P0F024,9 step Premium Facial - Snail Mucin,Facial Kit,1200,1016.95,600,558,504
B0P0F025,4 Step Cleanup - Gold Sheen,Facial Kit,199,168.64,99.5,92.535,83.58
B0P0F026,4 Step Cleanup - Aqua Splash,Facial Kit,199,168.64,99.5,92.535,83.58
B0P0F027,4 Step Cleanup - Pearl Wonder,Facial Kit,199,168.64,99.5,92.535,83.58
B0P0F028,4 Step Cleanup - Acne Heel,Facial Kit,199,168.64,99.5,92.535,83.58
B0P0F029,4 Step Cleanup - Professional Depigmentation,Facial Kit,199,168.64,99.5,92.535,83.58
B0P0F030,4 Step Cleanup - Radiat Youth,Facial Kit,199,168.64,99.5,92.535,83.58
B0P0M001,4 Step Pedicure - Lemon Tango,Mani-Pedi Kit,129,109.32,64.5,59.985,54.18
B0P0M002,4 Step Pedicure - Zero Tan,Mani-Pedi Kit,129,109.32,64.5,59.985,54.18
B0P0M003,4 Step Pedicure - Hydra Splash,Mani-Pedi Kit,129,109.32,64.5,59.985,54.18
B0P0M004,4 Step Pedicure - Rosemary mint,Mani-Pedi Kit,129,109.32,64.5,59.985,54.18
B0P0M005,4 Step Pedicure - Purple Passion,Mani-Pedi Kit,129,109.32,64.5,59.985,54.18
B0P0M006,4 Step Pedicure - Pumpkin Spice,Mani-Pedi Kit,129,109.32,64.5,59.985,54.18
B0P0M007,7 step Pedicure - citrus mani pedi,Mani-Pedi Kit,275,233.05,137.5,127.875,115.5
B0P0M008,7 step Pedicure - sea pearl,Mani-Pedi Kit,275,233.05,137.5,127.875,115.5
B0P0M009,7 step Pedicure - turkish rose,Mani-Pedi Kit,275,233.05,137.5,127.875,115.5
B0P0A001,7 Step Salon Pack - Bride to be,7 Steps Salon Pack,2900,2457.63,1450,1348.5,1218
B0P0A002,7 Step Salon Pack - H2O,7 Steps Salon Pack,2200,1864.41,1100,1023,924
B0P0A003,7 Step Salon Pack - Pure Skin,7 Steps Salon Pack,2350,1991.53,1175,1092.75,987
B0P0A004,7 Step Salon Pack - Time Revesal,7 Steps Salon Pack,2600,2203.39,1300,1209,1092
B0P0B001,MOLD MASK - 24 K GOLD,Mould Mask,340,288.14,170,158.1,142.8
